Name,Code
Office of Science,41___NOAA_NATIONAL_MARINE_FISHERIES_SERVICE_OFFICE_OF_SCIENCE_AND_TECHNOLOGY_(SILVER_SPRING)
Office of the Director,41___OFFICE_OF_THE_DIRECTOR_OF_NATIONAL_INTELLIGENCE_(MCLEAN)
Ono Pharma Foundation,not_found
Patient-Centered Outcomes Research Institute,41___PATIENT-CENTERED_OUTCOMES_RESEARCH_INSTITUTE_(WASHINGTON_D.C.)
Patrick and Catherine Weldon Donaghue Medical Research Foundation,not_found
Postdoctoral Research Foundation of China,not_found
Quality Enhancement Research Initiative,41___QUALITY_ENHANCEMENT_RESEARCH_INITIATIVE_(WASHINGTON_D.C.)
Recruitment Program of Global Experts,not_found
Research Corporation for Science Advancement,41___RESEARCH_CORPORATION_FOR_SCIENCE_ADVANCEMENT_(TUCSON)
Research and Development,41___AERIAL_DELIVERY_RESEARCH_AND_DEVELOPMENT_ESTABLISHMENT_(AGRA)
Retirement Research Foundation,not_found
Richard and Susan Smith Family Foundation,41___RICHARD_AND_SUSAN_SMITH_FAMILY_FOUNDATION_(NEWTON)
Riksbankens Jubileumsfond,41___BANK_OF_SWEDEN_TERCENTENARY_FOUNDATION_(BORÅS)
Robert Wood Johnson Foundation,41___ROBERT_WOOD_JOHNSON_FOUNDATION_(PRINCETON)
Rosalind Franklin University of Medicine and Science,41___ROSALIND_FRANKLIN_UNIVERSITY_OF_MEDICINE_AND_SCIENCE_(NORTH_CHICAGO)
Royal Society,41___OFFICE_OF_THE_ROYAL_SOCIETY_(BANGKOK)
Russian Foundation for Basic Research,41___RUSSIAN_FOUNDATION_FOR_BASIC_RESEARCH_(MOSCOW)
Russian Science Foundation,41___RUSSIAN_SCIENCE_FOUNDATION_(MOSCOW)
Samuel Waxman Cancer Research Foundation,41___SAMUEL_WAXMAN_CANCER_RESEARCH_FOUNDATION_(NEW_YORK)
Sanming Project of Medicine in Shenzhen,not_found
Saudi Aramco,41___SAUDI_ARAMCO_MEDICAL_SERVICES_ORGANIZATION_(DHAHRAN)
Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,not_found
Science and Engineering Research Board,41___SCIENCE_AND_ENGINEERING_RESEARCH_BOARD_(NEW_DELHI)
Science and Technology Commission of Shanghai Municipality,41___SCIENCE_AND_TECHNOLOGY_COMMISSION_OF_SHANGHAI_MUNICIPALITY_(SHANGHAI)
Science and Technology Department of Zhejiang Province,41___SCIENCE_AND_TECHNOLOGY_DEPARTMENT_OF_ZHEJIANG_PROVINCE_(HANGZHOU)
Science and Technology Facilities Council,41___SCIENCE_AND_TECHNOLOGY_FACILITIES_COUNCIL_(SWINDON)
Scientific Research Fund for Young and Middle-Aged Scholars of Gansu University of Traditional Chinese Medicine,not_found
Searle Scholars Program,not_found
Seventh Framework Programme,not_found
Shanghai Hospital Development Center,41___SHANGHAI_HOSPITAL_DEVELOPMENT_CENTER_(SHANGHAI)
Sichuan Province Science and Technology Support Program,not_found
Simon Fraser University,41___SIMON_FRASER_UNIVERSITY_(BURNABY)
Simons Foundation,41___HEISING-SIMONS_FOUNDATION_(LOS_ALTOS)
Simons Foundation Autism Research Initiative,not_found
Sleep Research Society Foundation,not_found
Social Sciences and Humanities Research Council of Canada,not_found
Society of Teachers of Family Medicine,41___SOCIETY_OF_TEACHERS_OF_FAMILY_MEDICINE_(LEAWOOD)
Solar Energy Technologies Office,41___SOLAR_ENERGY_TECHNOLOGIES_OFFICE_(WASHINGTON_D.C.)
Space Telescope Science Institute,41___SPACE_TELESCOPE_SCIENCE_INSTITUTE_(BALTIMORE)
State Key Laboratory of Chemo/Biosensing and Chemometrics,not_found
State Key Laboratory of Organic Geochemistry,41___STATE_KEY_LABORATORY_OF_ORGANIC_GEOCHEMISTRY_(GUANGZHOU)
State Key Laboratory of Software Development Environment,41___STATE_KEY_LABORATORY_OF_SOFTWARE_DEVELOPMENT_ENVIRONMENT_(BEIJING)
Stephenson Cancer Center,41___OU_HEALTH_STEPHENSON_CANCER_CENTER_(OKLAHOMA_CITY)
Substance Abuse and Mental Health Services Administration,41___SUBSTANCE_ABUSE_AND_MENTAL_HEALTH_SERVICES_ADMINISTRATION_(ROCKVILLE)
Svenska Forskningsrådet Formas,not_found
Swedish Cancer Foundation,not_found
SystemsX.ch,41___SYSTEMSX.CH_(ZURICH)
Templeton Religion Trust,41___TEMPLETON_RELIGION_TRUST_(NASSAU)
Tempus Közalapítvány,not_found
Texas A and M University,not_found
The Wellcome Trust DBT India Alliance,not_found
U.S. Air Force,41___PORTUGUESE_AIR_FORCE_ACADEMY_(SINTRA)
U.S. Department of Defense,not_found
U.S. Department of Education,not_found
U.S. Department of Energy,not_found
U.S. Department of Health and Human Services,not_found
U.S. Department of Veterans Affairs,not_found
U.S. Food and Drug Administration,not_found
U.S. Geological Survey,"41___U.S._GEOLOGICAL_SURVEY,_ALASKA_SCIENCE_CENTER_(ANCHORAGE)"
U.S. National Library of Medicine,not_found
U.S. Naval Research Laboratory,not_found
UK Space Agency,not_found
Uniformed Services University of the Health Sciences,41___UNIFORMED_SERVICES_UNIVERSITY_OF_THE_HEALTH_SCIENCES_(BETHESDA)
United Nations Development Programme,41___UNITED_NATIONS_DEVELOPMENT_PROGRAMME_(BUENOS_AIRES)
United States - Israel Binational Science Foundation,not_found
United States-Israel Binational Science Foundation,41___UNITED_STATES-ISRAEL_BINATIONAL_SCIENCE_FOUNDATION_(JERUSALEM)
Universidad Nacional de Cuyo,not_found
Universiteit Gent,not_found
"University of California, San Francisco","41___UNIVERSITY_OF_CALIFORNIA,_SAN_FRANCISCO_(SAN_FRANCISCO)"
"University of California, Santa Barbara","41___UNIVERSITY_OF_CALIFORNIA,_SANTA_BARBARA_(SANTA_BARBARA)"
University of Edinburgh,41___UNIVERSITY_OF_EDINBURGH_(EDINBURGH)
"University of Maryland, Baltimore","41___UNIVERSITY_OF_MARYLAND,_BALTIMORE_COUNTY_(BALTIMORE)"
University of Massachusetts Boston,41___UNIVERSITY_OF_MASSACHUSETTS_BOSTON_(BOSTON)
University of North Dakota,41___UNIVERSITY_OF_NORTH_DAKOTA_(GRAND_FORKS)
University of Oxford,41___UNIVERSITY_OF_OXFORD_(OXFORD)
University of Pennsylvania,41___CALIFORNIA_UNIVERSITY_OF_PENNSYLVANIA_(CALIFORNIA)
University of Virginia,41___UNIVERSITY_OF_VIRGINIA_CANCER_CENTER_(CHARLOTTESVILLE)
University of Washington,41___FRED_HUTCHINSON/UNIVERSITY_OF_WASHINGTON/SEATTLE_CHILDREN’S_CANCER_CONSORTIUM_(SEATTLE)
Université de Paris,not_found
Univerzita Karlova v Praze,not_found
Vetenskapsrådet,not_found
Villum Fonden,41___VILLUM_FONDEN_(SØBORG)
W. M. Keck Foundation,41___W._M._KECK_FOUNDATION_(LOS_ANGELES)
W.K. Kellogg Foundation,41___W.K._KELLOGG_FOUNDATION_(BATTLE_CREEK)
Washington Research Foundation,41___WASHINGTON_RESEARCH_FOUNDATION_(SEATTLE)
Washington University in St. Louis,41___WASHINGTON_UNIVERSITY_IN_ST._LOUIS_SCHOOL_OF_MEDICINE_(ST_LOUIS)
Welch Foundation,41___WELCH_FOUNDATION_(HOUSTON)
Wellcome,41___BURROUGHS_WELLCOME_FUND_(DURHAM)
Wellcome Trust,41___LAO-OXFORD-MAHOSOT_HOSPITAL-WELLCOME_TRUST_RESEARCH_UNIT_(VIENTIANE)
Wenner-Gren Foundation,41___WENNER-GREN_FOUNDATIONS_(STOCKHOLM)
William T. Grant Foundation,not_found
William and Flora Hewlett Foundation,not_found
World Bank Group,41___WORLD_BANK_GROUP_(WASHINGTON_D.C.)
“la Caixa” Foundation,not_found
